Latitude,Longitude,Speed
38.6281967163,-77.2931365967,65
38.6284332275,-77.2930374146,65
38.6286735535,-77.292930603,65
38.6289100647,-77.2928237915,65
38.6291542053,-77.2927246094,65
38.6293945312,-77.2926254272,65
38.6296386719,-77.2925186157,65
38.6298866272,-77.2924194336,65
38.6301307678,-77.2923202515,65
38.6303749084,-77.2922210693,65
38.6306228638,-77.2921295166,65
38.6308746338,-77.2920303345,65
38.6311225891,-77.2919387817,65
38.6313705444,-77.291847229,65
38.6316223145,-77.2917556763,65
38.6318740845,-77.2916641235,65
38.6321258545,-77.2915725708,65
38.6323776245,-77.2914810181,65
38.6326332092,-77.2913894653,65
38.6328849792,-77.291305542,65
38.6331367493,-77.2912139893,65
38.6333885193,-77.2911224365,65
38.6336402893,-77.2910308838,65
38.6338882446,-77.2909393311,65
38.6341400146,-77.2908554077,65
38.6343917847,-77.290763855,65
38.6346435547,-77.2906723022,65
38.63489151,-77.2905807495,65
38.6351394653,-77.2904891968,65
38.6353874207,-77.290397644,65
38.6356315613,-77.2903060913,65
38.6358833313,-77.290222168,65
38.6361274719,-77.2901306152,65
38.6363830566,-77.2900390625,65
38.6366271973,-77.2899475098,65
38.6368789673,-77.2898483276,65
38.6371231079,-77.2897567749,65
38.6373748779,-77.2896575928,65
38.6376190186,-77.28956604,65
38.6378669739,-77.2894668579,65
38.6381072998,-77.2893676758,65
38.6383514404,-77.289276123,65
38.6385955811,-77.2891769409,65
38.638835907,-77.2890777588,65
38.6390762329,-77.2889709473,65
38.6393127441,-77.2888717651,65
38.6395530701,-77.2887649536,65
38.6397895813,-77.2886581421,65
38.6400413513,-77.2885513306,65
38.6402854919,-77.288444519,65
38.6405258179,-77.2883377075,65
38.6407623291,-77.2882232666,65
38.641002655,-77.2881088257,65
38.641242981,-77.2879943848,65
38.6414833069,-77.2878875732,65
38.6417236328,-77.2877655029,65
38.641960144,-77.287651062,65
38.64220047,-77.2875366211,65
38.6424331665,-77.2874145508,65
38.6426734924,-77.2872924805,65
38.6429100037,-77.2871704102,65
38.6431503296,-77.2870483398,65
38.6433830261,-77.2869262695,65
38.6436233521,-77.2867965698,65
38.6438598633,-77.2866744995,65
38.6440963745,-77.2865371704,65
38.6444244385,-77.2864151001,65
38.6447296143,-77.286277771,65
38.6449661255,-77.2861480713,65
38.6452026367,-77.2860183716,65
38.6454391479,-77.2858886719,65
38.6456718445,-77.2857589722,65
38.645904541,-77.2856292725,65
38.6461372375,-77.2854995728,65
38.6463661194,-77.285369873,65
38.6465950012,-77.2852478027,65
38.6468276978,-77.285118103,65
38.6470527649,-77.2849960327,65
38.6472854614,-77.284866333,65
38.6475143433,-77.2847442627,65
38.6477432251,-77.284614563,65
38.6479721069,-77.2844848633,65
38.6482009888,-77.284362793,65
38.6484336853,-77.2842330933,65
38.6486625671,-77.2841033936,65
38.6488952637,-77.2839660645,65
38.6491317749,-77.2838439941,65
38.6493644714,-77.2837142944,65
38.649597168,-77.2835845947,65
38.6498298645,-77.2834625244,65
38.6503311,-77.2831585,65
38.6506374,-77.2829935,65
38.6509362,-77.2828182,65
38.6513244,-77.2826014,65
38.6516963,-77.2824061,65
38.652492,-77.2819575,65
38.6529816,-77.2816943,65
38.6534148,-77.2814458,65
38.6537458,-77.2812596,65
38.65399,-77.2811291,65
38.6541144,-77.2810563,65
38.6542966,-77.2809535,65
38.654473,-77.2808578,65
38.6546630859,-77.2807540894,65
